url,title,src,score,release_date,release_location,release_dates,genre,week_box_value,total_box_value,cast_str
/films/1277751,赤狐书生,https://p0.pipi.cn/mmdb/d2dad592537807e5bcf0ee1f3d363b3085daf.jpg?imageView2/1/w/218/h/300,7.9,中国大陆, 125分钟,2020-12-04中国大陆上映, 奇幻  /  古装  /  喜剧 ,13368.0,18513.0,宋灏霖（导演） / 陈立农（饰：王子进） / 李现（饰：白十三） / 哈妮克孜（饰：英莲） / 宋灏霖（导演） / 陈立农（饰：王子进） / 李现（饰：白十三） / 哈妮克孜（饰：英莲） / 裴魁山（饰：何先生） / 姜超（饰：朱掌柜） / 张晨光（饰：玄狐长老） / 李晓川（饰：阴阳道人） / 王耀庆（饰：刘道然） / 杨紫（饰：映无邪） / 恬妞（饰：烧鸡摊主） / 郭唐维（饰：童年王子进） / 林君俊（饰：祭司） / 欧阳佑同（饰：小子进前世） / 彭杨斐（饰：祭司） / 齐若壹（饰：古筝花魁） / 路文博（饰：病孙爷爷） / 徐玉兰（饰：刘奶奶） / 张帆 / 郝劭文（饰：租驴店店主） / 恬妞（饰：烧鸡摊主） / 江亮新（饰：书生） / 张超理（导演） / 李卓尔（导演） / 王磊（导演） / 伍刚（导演） / 江亮新（导演）
/films/1197684,怪物猎人,https://p0.pipi.cn/mmdb/d2dad59253751bc696be12cc586d8e68894cd.jpg?imageView2/1/w/218/h/300,8.0,美国, 103分钟,2020-12-04中国大陆上映, 动作  /  奇幻 , None, None,"保罗·安德森（导演） / 米拉·乔沃维奇（饰：Artemis） / 托尼·贾（饰：The Hunter） / 欧阳靖（饰：Steeler） / 山崎纮菜（饰：Handler） / 保罗·安德森（导演） / 米拉·乔沃维奇（饰：Artemis） / 托尼·贾（饰：The Hunter） / 欧阳靖（饰：Steeler） / 山崎纮菜（饰：Handler） / 梅根·古德（饰：Dash） / 迪耶戈·博内塔（饰：communications specialist） / T.I.（饰：Link） / 乔什·赫尔曼（饰：Steeler） / 朗·普尔曼（饰：阿德米尔） / 雅尼克·许曼（饰：Aiden） / 尼克·拉森蒂（饰：Sergeant Roark） / 南达·科斯塔（饰：Lea） / 艾伦·比尔纳（饰：Palico） / 施莱恩·贝内特（饰：Comms Officer） / 阿德里安·穆尼奥斯（饰：Hunter #2） / 克莱德·伯宁（饰：JSO V22 Pilot #1） / 保罗·汉普赛尔（饰：JSO Soldier #2） / Pope Jerrod（饰：E3 Sentry Pilot） / 巴特·富歇（饰：Commander West E3 Sentry,(as Bart Fouché)） / Aric Dupere（导演） / Tamara Notcutt（导演）"
/films/1321647,黑帮大佬和我的365日,https://p0.pipi.cn/mmdb/d2dad5927a38d3178971f7de4674bc48306fc.jpg?imageView2/1/w/218/h/300,4.7,波兰, 116分钟,2020-02-07波兰上映, 剧情 , None, None,芭芭拉·比尔拉瓦斯（导演） / 迈克尔·莫罗内（饰：Massimo Torricelli） / 安娜·玛丽亚·西克拉克（饰：Laura） / 布罗尼斯拉夫瓦格拉斯基（饰：Mario） / 芭芭拉·比尔拉瓦斯（导演） / 迈克尔·莫罗内（饰：Massimo Torricelli） / 安娜·玛丽亚·西克拉克（饰：Laura） / 布罗尼斯拉夫瓦格拉斯基（饰：Mario） / 欧塔萨拉利泽（饰：Domenico） / 玛格达莱娜·朗帕斯卡（饰：Olga） / 娜塔莎·厄本斯卡（饰：Anna） / 格拉日娜·沙波沃夫斯卡（饰：Klara） / 托马斯施托金格（饰：Thomasz） / 马特乌斯·拉索夫斯基（饰：Martin） / 阿格尼斯·瓦丘尔斯卡（饰：Bank manager） / 普热米斯瓦夫·萨多夫斯基（饰：Hotel manager） / 迈克·米柯拉哈克萨克（饰：Security Chief） / 马特乌什格瑞特莱克（饰：Bank manager） / 娜塔莉·加诺塞克（饰：Karolina） / 阿图尔克鲁泽克（饰：Director of floor service） / 斯蒂法诺特拉扎诺（饰：Dancer） / 托马斯·曼丁斯（饰：Massimo's cousin） / 斯拉沃米尔曼奈斯（饰：Man of 'Stygmatyk'） / Blanka Lipinska（饰：Bride） / Gianni Parisi（饰：Massimo's Father） / Andrea Batti（饰：Alfredo） / Marcin Markowski（饰：Bank manager） / Bartek Cierlica（饰：Lovelas） / Marek Serdiukow（导演） / 托马斯·曼丁斯（导演）
/films/1357206,流浪地球：飞跃2020特别版,https://p0.pipi.cn/mmdb/d2dad5927a39ab50c85bf1221329fc19fd735.jpg?imageView2/1/w/218/h/300,8.9,中国大陆, 137分钟,2020-11-26中国大陆上映, 科幻  /  冒险 ,276.0,419.0,郭帆（导演） / 吴京（饰：刘培强） / 屈楚萧（饰：刘启） / 李光洁（饰：王磊） / 吴孟达（饰：韩子昂） / 郭帆（导演） / 吴京（饰：刘培强） / 屈楚萧（饰：刘启） / 李光洁（饰：王磊） / 吴孟达（饰：韩子昂） / 赵今麦（饰：韩朵朵） / 隋凯（饰：蒂姆） / 屈菁菁（饰：周倩） / 张亦驰（饰：李一一） / 杨皓宇（饰：何连科） / 阿尔卡基·弗拉基米尔维奇（饰：马卡洛夫） / 李虹辰（饰：张小强） / 杨轶（饰：溜子 / 杨捷） / 姜志刚（饰：赵志刚） / 张欢（饰：黄明） / 雷佳音（饰：一哥） / 宁浩（饰：二叔） / 刘慈欣（饰：空间站军官甲） / 郭京飞（饰：空间站军官乙） / 王智（饰：刘启母亲） / 张子贤（饰：黄国盛） / 千昌宁（饰：韩国救援队 队长，朴在孝） / 于文龙（饰：补给站狱警） / 六子（饰：地头蛇） / 路阳（饰：安检甲） / 张宁（饰：安检乙） / 张小北（饰：轨道车司机） / 陶珞依（饰：教师） / 饶晓志（饰：空间站工程师甲） / 龚格尔（饰：补给站预警甲） / 郭帆（饰：叉车司机） / 吴晓亮（饰：中国救援队员甲） / 周易（导演）
/films/1334342,送你一朵小红花,https://p0.pipi.cn/mmdb/d2dad5927a3be1d2361789062615c8f245395.jpg?imageView2/1/w/218/h/300,9.2,中国大陆, 128分钟,2020-12-31 18:00中国大陆上映, 剧情  /  家庭 ,76170.0,143269.0,韩延（导演） / 易烊千玺（饰：韦一航） / 刘浩存（饰：马小远） / 朱媛媛（饰：陶慧） / 高亚麟（饰：韦江） / 韩延（导演） / 易烊千玺（饰：韦一航） / 刘浩存（饰：马小远） / 朱媛媛（饰：陶慧） / 高亚麟（饰：韦江） / 夏雨（饰：老马） / 岳云鹏（饰：吴晓昧） / 陈景妍（饰：其他） / 席加林（饰：外卖小张哥） / 席加林（导演） / 周正飞
/films/1281095,紫罗兰永恒花园 外传：永远与自动手记人偶,https://p0.pipi.cn/mmdb/d2dad592537c69e7aa02ffa30218d787b72f6.jpg?imageView2/1/w/218/h/300,9.2,日本, 91分钟,2020-01-10中国大陆上映, 剧情  /  动画 ,2342.0,4848.0,"藤田春香（导演） / 石川由依（饰：薇尔莉特·伊芙加登 Violet Evergarden） / 茅原实里（饰：埃丽卡·布朗 Erica Brown） / 远藤绫（饰：嘉德丽雅·波德莱尔 Cattleya Baudelaire） / 寿美菜子（饰：伊莎贝拉·约克 Isabella York） / 藤田春香（导演） / 石川由依（饰：薇尔莉特·伊芙加登 Violet Evergarden） / 茅原实里（饰：埃丽卡·布朗 Erica Brown） / 远藤绫（饰：嘉德丽雅·波德莱尔 Cattleya Baudelaire） / 寿美菜子（饰：伊莎贝拉·约克 Isabella York） / 子安武人（饰：克劳迪亚·霍金斯 Claudia Hodgins） / 户松遥（饰：艾丽斯·卡纳利 Iris Cannary） / 内山昂辉（饰：贝内迪克特·布卢 Benedict Bleu） / 悠木碧（饰：泰勒·巴特利特 Taylor Bartlett） / 田所梓 / 鲍勃·布克霍尔兹 / 雷巴·布尔（饰：Cattleya Baudelaire,） / Dorothy Elias-Fahn（饰：Grandma,Marty,/） / 桑迪·福克斯（饰：Taylor Bartlett,） / 凯尔·麦卡利（饰：Claudia Hodgins,） / 劳拉·波斯特（饰：Ashley Lancaster,） / Kira Buckland（饰：Luculia Marlborough,） / Christine Marie Cabanos（饰：Erica Brown,） / Erika Harlacher（饰：Violet Evergarden,） / 庆长佑香（饰：Female Student,） / 谢拉米·李（饰：Iris Cannary,） / 科琳·欧肖内希（饰：Isabella York,） / 本·普罗斯基（饰：Benedict Bleu,） / 齐藤次郎（饰：York Family Head,） / 武田哈纳（饰：Ashley Lancaster,） / 藤田春香（导演）"
/films/1297466,釜山行2：半岛,https://p0.pipi.cn/mmdb/d2dad5927a30e171f7ddd2bfaa1daac4fe082.jpg?imageView2/1/w/218/h/300,6.5,韩国, 115分钟,2020-07-01韩国上映, 动作  /  惊悚  /  恐怖 , None, None,"延相昊（导演） / 姜栋元（饰：正锡） / 李贞贤（饰：敏静） / 权海孝（饰：金老人） / 李甄（饰：濬儿） / 延相昊（导演） / 姜栋元（饰：正锡） / 李贞贤（饰：敏静） / 权海孝（饰：金老人） / 李甄（饰：濬儿） / 金敏载（饰：黄中士） / 具教焕（饰：徐大尉） / 金度允（饰：哲民） / 李藝媛（饰：宥真） / 张素妍（饰：正锡的姐姐） / 文宇振（饰：Jeong-seok's nephew [Dong-hwan]） / 丹尼尔·乔伊·奥尔布赖特（饰：American Soldier McClain） / Si-Won Cha（饰：香港行动队长） / Terri Doty（饰：Min Jung,） / Pierce Conran（饰：Reporter） / 金丹菲（饰：丧尸42） / 金圭白（饰：金二兵） / Kim（饰：Container soldier） / 文友辰（饰：俊硕外甥） / 李艺媛（饰：유진 역） / 杰弗里·朱利亚诺（饰：Hong Kong Boss）"
/films/1299955,鬼灭之刃 剧场版 无限列车篇,https://p0.pipi.cn/mmdb/d2dad5927a30e1b12df2aaaae34352723e55b.jpg?imageView2/1/w/218/h/300,8.9,日本, 117分钟,2020-10-16日本上映, 动画 , None, None,"外崎春雄（导演） / 平川大辅（饰：配音 Voice (配 魇梦)） / 花江夏树（饰：灶门炭治郎） / 石田彰（饰：配音 Voice (配 猗窝座)） / 鬼头明里（饰：灶门祢豆子） / 外崎春雄（导演） / 平川大辅（饰：配音 Voice (配 魇梦)） / 花江夏树（饰：灶门炭治郎） / 石田彰（饰：配音 Voice (配 猗窝座)） / 鬼头明里（饰：灶门祢豆子） / 樱井孝宏 / 下野纮（饰：我妻善逸） / 小西克幸 / 松冈祯丞（饰：嘴平伊之助） / 早见沙织 / 日野聪（饰：炼狱杏寿郎） / 铃村健一 / 关智一 / 杉田智和 / 森川智之 / 佐藤利奈 / 三木真一郎 / 桑岛法子 / 本渡枫 / 大地叶 / 小原好美 / 古贺葵 / 小山力也 / 丰口惠美 / 榎木淳弥 / 伊濑茉莉也 / 笠间淳 / 千本木彩花 / 江口拓也 / 山村响 / 广濑裕也 / 高桥伸也 / 仲村宗悟 / 笠间淳（饰：配音） / 中惠 光城 / 千本木彩花（饰：配音） / 江口拓也（饰：配音） / 高桥伸也（饰：配音） / 仲村宗悟（饰：配音） / 花江夏树（饰：Kamado Tanjirô, (as Hanae Natsuki)） / 下野纮（饰：Agatsuma Zenitsu, (as Shimono Hiro)） / 日野聪（饰：Rengoku Kyôjurô, (as Hino Satoshi)） / Rina Satô（饰：Amane Ubuyashiki,） / Saeko Akiho / Bill Butts（饰：Demon） / Zach Aguilar（饰：Tanjiro Kamado,） / Mark Whitten（饰：Kyojuro Rengoku,） / Ryan Bartley（饰：Hanako Kamado,Kyôjurô Rengoku (child),/） / 雷·蔡斯（饰：Tengen Uzui,） / Lucien Dodge（饰：Akaza - Upper Moon Three,） / 克里斯平·弗里曼（饰：Gyômei Himejima,） / Erik Scott Kimerer（饰：Sanemi Shinazugawa,） / Landon McDonald（饰：Enmu - Lower Moon One,） / 米歇尔·拉夫（饰：Takeo Kamado,） / Kaiji Tang（饰：Sanemi Shinazugawa,） / Cedric L. Williams（饰：Senjurô Rengoku,） / 鬼头明里（饰：Kamado Nezuko, (as Kitô Akari)） / 松冈祯丞（饰：Hashibira Inosuke, (as Matsuoka Yoshitsugu)） / 阿比·特罗特（饰：Nezuko Kamado,） / 布赖斯·帕彭布鲁克（饰：Inosuke Hashibira,） / 杰西卡·迪西可（饰：Shigeru Kamado,） / Dorothy Elias-Fahn（饰：Kie Kamado,） / Erika Harlacher（饰：Shinobu Kochô,） / Mela Lee（饰：White Haired Guide,） / 马修·默瑟（饰：Kagaya Ubuyashiki,） / Philece Sampler（饰：Rokuta Kamado,） / 柯克·桑顿（饰：Tanjûrô Kamado,） / 伊马里·威廉斯（饰：Shinjurô Rengoku,） / 细川秀树（导演）"
/films/1241850,海兽之子,https://p0.pipi.cn/mmdb/d2dad5925370fa3139d7c30d8ef05c21a9c2a.jpg?imageView2/1/w/218/h/300,7.0,日本, 112分钟,2020-11-20中国大陆上映, 动画 ,1419.0,1636.0,"渡边步（导演） / 芦田爱菜（饰：配音 Voice (配 安海琉花)） / 石桥阳彩（饰：配音 Voice (配 海)） / 浦上晟周（饰：配音 Voice (配 空)） / 森崎温（饰：配音 Voice (配 安格勒 Angrad)） / 渡边步（导演） / 芦田爱菜（饰：配音 Voice (配 安海琉花)） / 石桥阳彩（饰：配音 Voice (配 海)） / 浦上晟周（饰：配音 Voice (配 空)） / 森崎温（饰：配音 Voice (配 安格勒 Angrad)） / 稻垣吾郎（饰：配音 Voice (配 安海正明)） / 苍井优（饰：配音 Voice (配 安海加奈子)） / 渡边彻（饰：老师） / 田中泯（饰：配音 Voice (配 吉姆·库萨克 Jim Cusack)） / 富司纯子（饰：配音 Voice (配 Dede)） / 马克·汤普森（饰：Masaaki Azumi,Additional Voices,/） / 瓦利·维吉尔特（饰：Gym Teacher,Doctor,Additional Voices,/  /） / Denise Lee（饰：Dehdeh,） / Christine Marie Cabanos（饰：Fuyuko,Students,Additional Voices,/  /） / 柯克·桑顿（饰：Investor,Additional Voices,/） / 凯伦·斯特拉斯曼（饰：Kanako Azumi,Students,/） / 迈克尔·索里奇（饰：Jim Cusack,Additional Voices,/） / Josh Petersdorf（饰：Jean,Additional Voices,/） / Meredith Zeitlin（饰：Aki,Students,Additional Voices,/  /   (as Zoe Martin)） / 斯蒂芬妮·社（导演）"
/films/1298876,龙神之子,https://p0.pipi.cn/mmdb/d2dad5927a30e10faf338fba17539a6362d78.jpg?imageView2/1/w/218/h/300,7.9,中国大陆, 90分钟,2020-10-31中国大陆上映, 动画  /  冒险  /  奇幻 , None,72.0,费瑞华（导演） / 唐泽宗（饰：小白龙） / 苏苏（饰：焦姥姥/焦玉姑） / 陈帅（饰：巫师/黄霸天） / 崔志昂（饰：龙王） / 费瑞华（导演） / 唐泽宗（饰：小白龙） / 苏苏（饰：焦姥姥/焦玉姑） / 陈帅（饰：巫师/黄霸天） / 崔志昂（饰：龙王） / 孙科（饰：玉帝） / 王兴康（饰：柱子/管家） / 王锋（导演）
